상품명,소싱가($),예상배송비($),판매예정가($),수입관세(소싱가의50%적용_2026Q2),$기준_LandedCost,예상_순이익(NetProfit),예상_마진율(%),무게통과(<=500g),부피통과(소형),비파손여부,트렌드점수(1~5),경쟁점수(1~5),리뷰품질(1~5),소싱안정성(1~5),바이럴잠재력(1~5),마진점수(1~5),종합점수(30만점),최종판정(GO/HOLD/FAIL)
스마트 넥밴드 교정기,8.00,4.00,33.00,4.00,16.00,17.00,51.5%,PASS,PASS,PASS,4,3,4,4,5,5,25,GO
LED 마그네틱 무드등,5.00,3.00,29.00,2.50,10.50,18.50,63.8%,PASS,PASS,FAIL(유리),5,4,2,3,4,5,23,FAIL
휴대용 에스프레소 메이커,15.00,6.00,45.00,7.50,28.50,16.50,36.7%,FAIL(800g),PASS,PASS,3,2,4,4,3,3,19,FAIL
미니 마사지건 (초경량),12.00,5.00,55.00,6.00,23.00,32.00,58.2%,PASS,PASS,PASS,5,4,5,5,5,5,29,GO
보더라인 USB 미니 선풍기,4.50,2.50,18.00,2.25,9.25,8.75,48.6%,PASS,PASS,PASS,3,2,3,3,4,5,20,HOLD

,,,,,,,,,,,,,,,,,,
이 시트를 구글 스프레드시트에 복사하여 사용하세요.,,,,,,,,,,,,,,,,,,
"수입관세 계산법: 소싱가 * 0.50 (2026 Q2 보수적 가정 — IEEPA 무효 후 Section 122+301+232 4-Layer 합계, 카테고리별 ±20%p 변동)",,,,,,,,,,,,,,,,,,
"전자제품 35~40%, 의류·잡화 25~30%, 철강 함유 50%+, 반도체 85% — 본인 HTS 코드별로 USITC.gov 검증 필수",,,,,,,,,,,,,,,,,,
"$기준_LandedCost = 소싱가 + 배송비 + 수입관세",,,,,,,,,,,,,,,,,,
"예상_순이익 = 판매예정가 - LandedCost (광고비·결제수수료·환불 충당 별도)",,,,,,,,,,,,,,,,,,
"예상_마진율 = 예상_순이익 / 판매예정가 * 100",,,,,,,,,,,,,,,,,,
"마진점수 환산: ≥45%→5, 40~44%→4, 35~39%→3, 30~34%→2, <30%→1",,,,,,,,,,,,,,,,,,
"종합점수 = 6개 항목 합산 (트렌드 + 경쟁 + 리뷰 + 소싱 + 바이럴 + 마진), 30점 만점",,,,,,,,,,,,,,,,,,
"종합점수 판정기준: 23점 이상=GO, 15~22점=HOLD, 15점 미만=FAIL",,,,,,,,,,,,,,,,,,
"단, Kill Criteria(무게/부피/비파손 등)에서 1개라도 FAIL이면 종합점수와 무관하게 FAIL",,,,,,,,,,,,,,,,,,
